6 января, МЦ ;Рождественский турнир по Современному мечевому бою
Февраль;QWERTY
Февраль, спортивная коробка на ул. Донского ;Турнир по хоккею на валенках среди молодежи
6 февраля, МЦ;Слет участников муниципальных отделений движений РДШ и Юнармия Северо-Енисейского района
9 февраля, СК Нерика;Чемпионат по офисным видам спорта
16 февраля, СК Нерика;Турнир по рукопашному бою, посвященный выводу советских войск из Афганистана
23 февраля, МЦ;Турнир по Современному мечевому бою ко Дню защитника отечества
Февраль, МЦ;Муниципальный форум Моя территория. Защита проектов для работы Трудовых отрядов старшеклассников.
Февраль-май, школы района;Конкурса видеороликов «Песни Великой Отечественной. Что в них слышат дети?»
Март, БСШ №5;Военно-патриотический квест «Знай наших», посвященный Ю.И. Олькову в п. Брянка
Март, РДК «Металлург»;Молодежная премия Главы Северо-Енисейского района
8 марта, Крытая хоккейная коробка;Диско Каток
Март, МЦ;Проектная школа «Территория 2020»
15 марта, СК «Нерика»;Триатлон по Современному мечевому бою «Молодецкая удаль»
Март, стадионы ВСШ №8 и ССШ №2;Турнир по Юкигассен (Снежный бой) среди молодежи в п. Вангаш и гп. Северо-Енисейский
Апрель, МЦ, СДК Новая Калами, СДК Вангаш;Сетевая акция «Умные игры. Игротека»
Апрель, поселки района;Добровольческая акция «Весенняя неделя добра»
4 апреля, п. Вельмо;Конкурс «Вельминская сказка» в рамках Вельминской подледки
4 апреля, п. Вельмо;Конкурс «Вельминская ущица» в рамках Вельминской подледки
4 апреля, п. Вельмо;Турнир по Юкигассен (Снежный бой) среди молодежи в рамках Вельминской подледки
Апрель, МЦ;Открытие Вахты Памяти
